Semester,Final Score,Final Grade
Fall 2017,76.38,BC
Fall 2017,70.28,C
Fall 2017,69.17,F
Fall 2017,76.78,BC
Fall 2017,64.84,F
Fall 2017,68.29,F
Fall 2017,72.21,C
Fall 2017,74.05,C
Fall 2017,78.13,BC
Fall 2017,74.1,C
Fall 2017,83.7,B
Fall 2017,63.19,F
Fall 2017,72.66,C
Fall 2017,77.63,BC
Fall 2017,75.57,BC
Fall 2017,78.15,BC
Fall 2017,79.43,BC
Fall 2017,78.16,BC
Fall 2017,68.24,F
Fall 2017,62.05,F
Fall 2017,76.4,BC
Fall 2017,74.88,C
Fall 2017,69.67,F
Fall 2017,82.17,B
Fall 2017,68.05,F
Fall 2017,74.82,C
Fall 2017,74.16,C
Fall 2017,76.63,BC
Fall 2017,75.84,BC
Fall 2017,78.11,BC
Fall 2017,77.6,BC
Fall 2017,85.01,AB
Fall 2017,74.27,C
Fall 2017,66.65,F
Fall 2017,71.15,C
Fall 2017,73.22,C
Fall 2017,65.99,F
Fall 2017,75.22,BC
Fall 2017,74.38,C
Fall 2017,75.58,BC
Fall 2017,70.14,C
Fall 2017,81.22,B
Fall 2017,70.28,C
Fall 2017,79.68,BC
Fall 2017,75.86,BC
Fall 2017,74.41,C
Fall 2017,76.92,BC
Fall 2017,73.73,C
Fall 2017,84.05,B
Fall 2017,73.52,C
Fall 2017,73.99,C
Fall 2017,74.64,C
Fall 2017,70.66,C
Fall 2017,71.32,C
Fall 2017,66.41,F
Fall 2017,76.39,BC
Fall 2017,74.01,C
Fall 2017,81.35,B
Fall 2017,74.18,C
Fall 2017,80.73,B
